intuition | What you measure you can improve 
VOLTAGE[Volt]  
NODE  SOIL MECHANICS
FROM   Tue Dec 26 2023|  TO Mon Jan 01 2024
REQUEST SUBMITTED ON   : Tue Jul 30 2024
REQUEST SUBMITTED BY   : SOMSHEKARA NAIKA(INDIAN INSTITUTE OF SCIENCE) 
TIME [UTC Seconds],R[Volt]   ,Y[Volt]   ,B[Volt]   ,
1703529000000,249,248,249,
1703529600000,248,247,248,
1703530200000,247,246,247,
1703530800000,248,246,248,
1703531400000,248,246,248,
1703532000000,248,246,248,
1703532600000,249,248,249,
1703533200000,249,248,249,
1703533800000,250,248,250,
1703534400000,250,248,249,
1703535000000,250,248,249,
1703535600000,250,249,250,
1703536200000,251,250,251,
1703536800000,250,248,250,
1703537400000,249,248,249,
1703538000000,250,249,250,
1703538600000,250,249,250,
1703539200000,250,249,250,
1703539800000,251,250,251,
1703540400000,250,249,250,
1703541000000,250,249,250,
1703541600000,250,248,250,
1703542200000,249,248,249,
1703542800000,249,248,250,
1703543400000,250,249,250,
1703544000000,249,248,249,
1703544600000,249,248,249,
1703545200000,249,248,249,
1703545800000,248,248,249,
1703546400000,248,247,249,
1703547000000,249,248,249,
1703547600000,250,248,250,
1703548200000,249,247,249,
1703548800000,248,247,249,
1703549400000,247,246,247,
1703550000000,248,247,248,
1703550600000,248,247,248,
1703551200000,247,245,247,
1703551800000,247,246,248,
1703552400000,248,247,248,
1703553000000,247,246,248,
1703553600000,247,246,248,
1703554200000,248,247,248,
1703554800000,248,246,248,
1703555400000,249,248,249,
1703556000000,248,248,249,
1703556600000,248,246,248,
1703557200000,247,246,247,
1703557800000,248,248,249,
1703558400000,247,246,247,
1703559000000,247,245,246,
1703559600000,248,247,248,
1703560200000,247,246,247,
1703560800000,248,247,248,
1703561400000,248,247,248,
1703562000000,247,245,247,
1703562600000,248,247,248,
1703563200000,249,248,250,
1703563800000,249,247,249,
1703564400000,246,244,246,
1703565000000,248,245,248,
1703565600000,247,245,248,
1703566200000,246,245,244,
1703566800000,246,244,247,
1703567400000,245,244,245,
1703568000000,244,243,245,
1703568600000,248,246,248,
1703569200000,246,245,246,
1703569800000,246,244,247,
1703570400000,248,246,248,
1703571000000,247,246,245,
1703571600000,249,247,246,
1703572200000,246,245,247,
1703572800000,247,245,247,
1703573400000,246,245,248,
1703574000000,246,245,248,
1703574600000,246,245,246,
1703575200000,245,244,246,
1703575800000,247,246,248,
1703576400000,247,246,248,
1703577000000,247,246,248,
1703577600000,248,246,248,
1703578200000,247,247,246,
1703578800000,248,246,249,
1703579400000,248,248,249,
1703580000000,247,245,248,
1703580600000,246,244,247,
1703581200000,246,243,246,
1703581800000,246,244,246,
1703582400000,247,244,247,
1703583000000,248,246,248,
1703583600000,247,245,247,
1703584200000,248,245,247,
1703584800000,249,247,248,
1703585400000,249,246,249,
1703586000000,249,247,249,
1703586600000,250,248,249,
1703587200000,251,249,251,
1703587800000,246,244,245,
1703588400000,245,243,246,
1703589000000,245,244,246,
1703589600000,245,244,245,
1703590200000,248,246,248,
1703590800000,248,246,248,
1703591400000,248,246,248,
1703592000000,248,246,248,
1703592600000,248,247,249,
1703593200000,248,246,247,
1703593800000,249,248,249,
1703594400000,246,245,246,
1703595000000,248,247,248,
1703595600000,248,247,248,
1703596200000,246,244,246,
1703596800000,246,245,246,
1703597400000,248,247,248,
1703598000000,248,247,248,
1703598600000,248,247,249,
1703599200000,246,244,246,
1703599800000,246,245,247,
1703600400000,246,245,246,
1703601000000,248,246,248,
1703601600000,247,246,247,
1703602200000,248,246,248,
1703602800000,248,247,248,
1703603400000,246,245,246,
1703604000000,247,246,247,
1703604600000,249,247,249,
1703605200000,247,246,246,
1703605800000,246,246,247,
1703606400000,247,247,248,
1703607000000,248,247,248,
1703607600000,249,248,250,
1703608200000,250,249,250,
1703608800000,249,248,249,
1703609400000,249,248,249,
1703610000000,249,248,250,
1703610600000,250,248,250,
1703611200000,251,250,251,
1703611800000,252,250,251,
1703612400000,250,249,250,
1703613000000,250,248,249,
1703613600000,250,249,250,
1703614200000,251,249,250,
1703614800000,251,250,251,
1703615400000,253,252,252,
1703616000000,250,249,250,
1703616599000,250,249,250,
1703617200000,251,250,251,
1703617800000,251,249,250,
1703618400000,251,249,251,
1703619000000,251,250,251,
1703619600000,251,251,252,
1703620200000,253,251,252,
1703620800000,253,252,253,
1703621400000,253,251,253,
1703622000000,254,253,254,
1703622600000,255,253,254,
1703623200000,253,252,254,
1703623800000,254,252,253,
1703624400000,253,252,253,
1703625000000,253,252,252,
1703625600000,254,252,254,
1703626200000,255,254,254,
1703626800000,254,253,254,
1703627400000,254,252,253,
1703628000000,253,252,253,
1703628600000,252,251,252,
1703629200000,254,252,254,
1703629800000,254,253,254,
1703630400000,254,253,253,
1703631000000,252,252,253,
1703631600000,253,252,253,
1703632200000,252,251,252,
1703632800000,253,251,252,
1703633400000,253,251,252,
1703634000000,253,252,253,
1703634600000,253,252,252,
1703635200000,252,251,251,
1703635800000,252,251,251,
1703636400000,251,250,251,
1703637000000,252,250,251,
1703637596000,250,249,250,
1703637600000,250,249,250,
1703638200000,248,247,247,
1703638800000,247,246,246,
1703639400000,249,248,248,
1703640000000,248,246,248,
1703640600000,249,248,249,
1703641200000,249,248,249,
1703641800000,249,248,249,
1703642399000,248,248,248,
1703642400000,248,247,248,
1703643000000,247,246,247,
1703643600000,249,248,249,
1703644200000,248,246,247,
1703644800000,248,247,248,
1703645400000,247,246,247,
1703646000000,248,247,246,
1703646600000,247,245,246,
1703647200000,249,249,249,
1703647800000,247,246,247,
1703648400000,246,245,246,
1703649000000,246,245,247,
1703649600000,248,247,248,
1703650200000,249,247,249,
1703650800000,248,246,248,
1703651400000,249,247,249,
1703651996000,245,244,245,
1703652000000,245,244,245,
1703652600000,247,245,248,
1703653199000,247,246,247,
1703653800000,246,244,246,
1703654400000,247,245,247,
1703655000000,247,246,247,
1703655600000,246,246,247,
1703656200000,248,247,249,
1703656800000,246,244,247,
1703657400000,245,244,246,
1703658000000,246,244,246,
1703658600000,247,246,248,
1703659200000,246,245,246,
1703659800000,246,244,247,
1703660400000,246,244,244,
1703660999000,245,243,245,
1703661600000,246,245,246,
1703662200000,247,245,247,
1703662800000,245,245,247,
1703663400000,246,245,247,
1703664000000,246,245,247,
1703664600000,245,244,247,
1703665200000,247,245,247,
1703665800000,246,245,245,
1703666400000,245,243,245,
1703667000000,244,244,243,
1703667600000,245,244,246,
1703668200000,244,243,245,
1703668800000,245,243,246,
1703669399000,246,244,246,
1703670000000,246,245,247,
1703670600000,246,246,247,
1703671200000,246,245,247,
1703671800000,246,245,247,
1703672400000,245,245,247,
1703673000000,248,246,248,
1703673600000,249,247,250,
1703674200000,249,248,250,
1703674800000,249,248,249,
1703675400000,249,247,250,
1703676000000,248,247,248,
1703676600000,248,247,248,
1703677200000,248,248,248,
1703677800000,247,245,247,
1703678400000,246,245,247,
1703679000000,247,245,247,
1703679600000,246,245,247,
1703680200000,248,247,249,
1703680800000,248,246,248,
1703681400000,247,245,247,
1703682000000,246,245,246,
1703682600000,246,245,246,
1703683200000,246,245,246,
1703683800000,247,247,247,
1703684400000,248,248,248,
1703685000000,247,247,248,
1703685600000,246,245,246,
1703686200000,247,246,247,
1703686800000,246,245,246,
1703687400000,247,247,247,
1703688000000,246,246,246,
1703688600000,246,246,246,
1703689200000,247,247,247,
1703689800000,247,247,247,
1703690400000,248,248,248,
1703691000000,248,248,248,
1703691600000,247,247,247,
1703692200000,248,247,247,
1703692800000,248,248,248,
1703693400000,249,248,249,
1703694000000,250,250,250,
1703694600000,251,251,251,
1703695200000,250,250,250,
1703695799000,250,250,250,
1703696400000,250,250,250,
1703697000000,251,251,251,
1703697600000,252,252,252,
1703698200000,251,251,251,
1703698800000,248,247,247,
1703699400000,248,247,247,
1703700000000,249,248,248,
1703700600000,249,249,248,
1703701200000,250,249,249,
1703701800000,251,251,251,
1703702400000,250,249,249,
1703703000000,250,249,249,
1703703600000,249,249,249,
1703704200000,249,249,248,
1703704800000,249,248,248,
1703705400000,250,249,249,
1703706000000,250,250,249,
1703706600000,251,250,250,
1703707200000,251,251,250,
1703707799000,250,250,250,
1703708400000,251,251,250,
1703709000000,252,252,252,
1703709600000,251,251,250,
1703710200000,251,250,250,
1703710800000,251,251,251,
1703711400000,251,251,250,
1703712000000,252,251,251,
1703712600000,252,252,252,
1703713200000,251,250,250,
1703713800000,252,251,251,
1703714400000,252,251,251,
1703715000000,251,251,250,
1703715600000,252,251,251,
1703716200000,252,252,251,
1703716800000,252,251,251,
1703717400000,251,251,251,
1703718000000,251,250,251,
1703718600000,251,250,250,
1703719200000,250,250,250,
1703719800000,250,250,250,
1703720400000,253,251,252,
1703721000000,252,252,251,
1703721600000,252,251,251,
1703722200000,251,251,250,
1703722800000,250,249,249,
1703723400000,251,250,250,
1703724000000,249,249,249,
1703724600000,249,248,248,
1703725200000,247,247,247,
1703725800000,249,249,248,
1703726400000,247,246,247,
1703727000000,246,245,246,
1703727600000,246,246,246,
1703728200000,248,247,247,
1703728800000,247,246,246,
1703729400000,248,248,247,
1703730000000,246,246,246,
1703730600000,247,246,246,
1703731200000,247,246,247,
1703731800000,247,247,247,
1703732400000,248,247,246,
1703733000000,248,248,245,
1703733600000,248,249,248,
1703734200000,248,247,248,
1703734800000,247,247,248,
1703735400000,247,247,247,
1703736000000,246,244,245,
1703736600000,247,247,246,
1703737200000,247,247,247,
1703737800000,248,248,247,
1703738400000,246,245,245,
1703739000000,246,245,244,
1703739600000,245,243,244,
1703740200000,246,243,245,
1703740800000,248,246,247,
1703741400000,246,244,245,
1703742000000,246,244,245,
1703742600000,248,246,247,
1703743200000,246,245,245,
1703743800000,246,245,245,
1703744400000,245,244,244,
1703745000000,247,245,246,
1703745600000,245,244,244,
1703746200000,248,247,246,
1703746800000,246,245,246,
1703747400000,247,246,244,
1703748000000,247,245,246,
1703748600000,246,244,246,
1703749200000,248,245,247,
1703749800000,248,247,247,
1703750400000,249,247,248,
1703751000000,249,247,248,
1703751600000,249,247,249,
1703752200000,250,248,249,
1703752799000,248,246,247,
1703753400000,248,247,248,
1703754000000,248,246,247,
1703754600000,248,246,247,
1703755200000,248,246,248,
1703755800000,248,246,247,
1703756380000,247,247,248,
1703757000000,248,247,248,
1703757600000,248,247,248,
1703758200000,247,246,248,
1703758800000,249,248,249,
1703759400000,249,248,249,
1703760000000,246,245,246,
1703760600000,245,244,245,
1703761200000,246,245,247,
1703761800000,246,245,246,
1703762400000,244,243,244,
1703763000000,247,246,247,
1703763600000,246,245,247,
1703764200000,245,245,246,
1703764800000,245,245,246,
1703765400000,245,245,247,
1703766000000,246,246,247,
1703766600000,249,248,250,
1703767200000,245,245,246,
1703767800000,245,244,246,
1703768399000,248,247,248,
1703769000000,245,244,246,
1703769600000,246,246,247,
1703770200000,246,246,247,
1703770800000,247,247,248,
1703771400000,247,246,248,
1703772000000,248,248,248,
1703772600000,248,247,248,
1703773200000,249,248,249,
1703773800000,250,250,251,
1703774400000,249,248,249,
1703775000000,248,247,248,
1703775600000,248,248,249,
1703776200000,249,248,249,
1703776800000,249,249,250,
1703777400000,251,250,251,
1703778000000,249,248,249,
1703778600000,248,248,249,
1703779200000,250,249,250,
1703779800000,249,249,250,
1703780400000,251,250,251,
1703781000000,252,250,252,
1703781600000,250,249,250,
1703782200000,250,249,250,
1703782800000,251,249,251,
1703783400000,251,251,252,
1703784000000,252,251,253,
1703784600000,253,252,253,
1703785200000,248,247,248,
1703785800000,248,248,249,
1703786400000,249,249,249,
1703787000000,249,249,250,
1703787600000,251,250,251,
1703788200000,252,252,252,
1703788800000,249,248,249,
1703789400000,249,249,249,
1703790000000,250,249,251,
1703790600000,250,250,251,
1703791200000,250,250,251,
1703791800000,250,250,251,
1703792400000,251,251,252,
1703793000000,251,251,252,
1703793600000,252,251,252,
1703794200000,252,251,253,
1703794800000,251,251,252,
1703795400000,253,252,253,
1703796000000,252,252,253,
1703796600000,252,252,252,
1703797200000,252,251,252,
1703797800000,252,251,252,
1703798400000,252,252,252,
1703799000000,253,253,254,
1703799600000,251,251,251,
1703800200000,252,251,252,
1703800800000,252,252,253,
1703801400000,251,251,252,
1703802000000,251,251,252,
1703802600000,252,251,252,
1703803200000,252,251,252,
1703803800000,252,251,252,
1703804400000,251,251,251,
1703805000000,251,250,252,
1703805600000,250,250,251,
1703806200000,251,250,251,
1703806800000,251,250,251,
1703807400000,250,250,251,
1703808000000,251,250,251,
1703808600000,251,251,252,
1703809200000,250,250,251,
1703809800000,251,250,252,
1703810400000,250,249,251,
1703811000000,249,249,250,
1703811600000,248,248,249,
1703812200000,246,246,247,
1703812800000,246,245,247,
1703813400000,247,247,248,
1703814000000,248,248,249,
1703814600000,248,248,249,
1703815200000,247,246,247,
1703815800000,247,248,248,
1703816400000,247,246,248,
1703817000000,247,247,248,
1703817600000,248,248,249,
1703818200000,248,248,249,
1703818800000,247,247,248,
1703819400000,246,246,245,
1703820000000,248,246,249,
1703820600000,248,247,247,
1703821200000,246,245,246,
1703821800000,249,249,249,
1703822400000,248,247,248,
1703823000000,247,245,247,
1703823600000,246,245,245,
1703824200000,246,245,247,
1703824800000,246,244,246,
1703825400000,244,244,243,
1703826000000,244,243,244,
1703826600000,246,245,246,
1703827200000,246,245,246,
1703827800000,246,245,247,
1703828400000,247,245,247,
1703829000000,247,244,246,
1703829600000,247,246,247,
1703830200000,247,245,247,
1703830800000,245,243,245,
1703831400000,246,244,246,
1703832000000,245,243,244,
1703832600000,245,243,245,
1703833200000,244,243,245,
1703833800000,244,243,245,
1703834400000,245,243,245,
1703835000000,245,244,246,
1703835600000,247,246,248,
1703836200000,246,245,247,
1703836800000,247,246,248,
1703837400000,247,246,248,
1703838000000,248,247,249,
1703838600000,248,247,250,
1703839200000,248,247,247,
1703839800000,247,245,248,
1703840400000,247,245,248,
1703841000000,248,246,246,
1703841600000,247,246,248,
1703842200000,248,248,248,
1703842779000,245,243,246,
1703843400000,246,246,247,
1703844000000,244,243,242,
1703844600000,244,242,244,
1703845200000,244,243,245,
1703845800000,245,245,244,
1703846399000,246,246,248,
1703847000000,248,247,249,
1703847600000,246,244,247,
1703848200000,246,244,246,
1703848800000,247,246,248,
1703849400000,245,243,246,
1703850000000,247,245,248,
1703850600000,245,244,246,
1703851200000,248,247,249,
1703851800000,245,244,246,
1703852400000,246,245,246,
1703853000000,248,247,248,
1703853600000,247,247,248,
1703854200000,247,246,248,
1703854800000,246,246,246,
1703855400000,247,246,248,
1703856000000,247,246,247,
1703856600000,246,245,246,
1703857200000,247,246,247,
1703857800000,248,246,247,
1703858400000,249,248,249,
1703859000000,249,249,249,
1703859600000,250,249,250,
1703860200000,251,250,251,
1703860800000,250,250,251,
1703861400000,249,248,249,
1703862000000,250,249,250,
1703862599000,251,249,251,
1703863200000,251,249,250,
1703863800000,251,250,251,
1703864400000,250,248,250,
1703865000000,250,249,251,
1703865600000,251,251,251,
1703866200000,252,251,251,
1703866800000,253,252,253,
1703867400000,253,253,254,
1703868000000,251,250,251,
1703868600000,251,251,252,
1703869200000,251,251,252,
1703869800000,251,251,252,
1703870399000,252,251,252,
1703871000000,252,252,253,
1703871600000,249,248,249,
1703872200000,249,247,249,
1703872800000,250,249,250,
1703873400000,251,248,250,
1703874000000,250,249,250,
1703874600000,252,250,252,
1703875200000,250,249,250,
1703875800000,249,248,249,
1703876400000,251,249,250,
1703877000000,250,249,250,
1703877600000,251,249,251,
1703878200000,251,250,251,
1703878800000,252,251,252,
1703879400000,252,250,251,
1703880000000,252,250,252,
1703880600000,253,252,253,
1703881200000,254,253,254,
1703881800000,254,253,254,
1703882400000,253,252,254,
1703883000000,253,252,253,
1703883600000,252,251,252,
1703884200000,253,251,253,
1703884800000,253,252,252,
1703885400000,254,253,254,
1703886000000,253,252,253,
1703886600000,253,251,252,
1703887200000,253,252,253,
1703887800000,253,252,252,
1703888400000,253,252,253,
1703889000000,253,252,253,
1703889600000,253,251,252,
1703890200000,252,251,252,
1703890800000,252,250,252,
1703891399000,251,250,252,
1703892000000,251,250,251,
1703892600000,251,250,251,
1703893200000,251,251,251,
1703893800000,252,251,252,
1703894400000,252,251,252,
1703895000000,251,251,251,
1703895599000,251,250,251,
1703896200000,251,250,252,
1703896800000,250,250,251,
1703897400000,249,249,249,
1703898000000,248,247,249,
1703898600000,246,245,246,
1703899200000,247,247,248,
1703899800000,248,248,249,
1703900399000,247,246,247,
1703901000000,246,246,247,
1703901600000,248,247,248,
1703902200000,248,247,248,
1703902800000,249,248,249,
1703903400000,248,247,248,
1703904000000,247,246,247,
1703904600000,246,245,246,
1703905200000,249,248,249,
1703905800000,246,245,247,
1703906400000,248,248,249,
1703907000000,249,248,250,
1703907600000,248,247,248,
1703908200000,248,247,248,
1703908800000,247,247,248,
1703909400000,248,246,248,
1703910000000,247,246,247,
1703910600000,247,245,248,
1703911200000,245,245,246,
1703911800000,248,247,248,
1703912400000,248,247,249,
1703913000000,247,246,247,
1703913600000,245,245,246,
1703914200000,247,246,248,
1703914800000,247,246,247,
1703915400000,248,247,248,
1703916000000,247,246,248,
1703916600000,247,247,248,
1703917200000,248,248,249,
1703917800000,247,245,247,
1703918400000,248,246,249,
1703919000000,247,246,247,
1703919600000,247,245,247,
1703920200000,247,245,247,
1703920800000,247,245,247,
1703921400000,249,248,250,
1703922000000,247,246,248,
1703922599000,248,246,249,
1703923200000,249,248,250,
1703923800000,250,248,250,
1703924400000,250,248,250,
1703925000000,251,249,251,
1703925600000,250,248,250,
1703926200000,249,247,249,
1703926800000,249,246,249,
1703927400000,248,246,247,
1703928000000,249,246,248,
1703928600000,250,247,250,
1703929200000,250,249,251,
1703929800000,250,249,250,
1703930400000,251,249,251,
1703931000000,252,249,252,
1703931600000,252,250,252,
1703932200000,252,250,252,
1703932800000,248,247,249,
1703933400000,249,247,249,
1703934000000,249,247,249,
1703934600000,250,248,250,
1703935200000,250,248,250,
1703935800000,251,248,250,
1703936400000,250,248,250,
1703937000000,246,245,247,
1703937600000,246,246,247,
1703938200000,246,245,246,
1703938800000,246,245,247,
1703939400000,247,246,248,
1703940000000,247,246,247,
1703940600000,247,245,247,
1703941200000,247,245,247,
1703941800000,246,246,247,
1703942400000,247,246,248,
1703943000000,246,245,246,
1703943600000,246,245,246,
1703944200000,246,245,246,
1703944800000,247,246,248,
1703945400000,249,247,248,
1703946000000,250,248,249,
1703946600000,250,249,250,
1703947200000,248,248,248,
1703947800000,250,249,250,
1703948400000,249,248,249,
1703949000000,250,248,250,
1703949600000,251,249,251,
1703950200000,251,250,251,
1703950800000,249,248,249,
1703951400000,250,249,251,
1703952000000,248,247,248,
1703952600000,249,247,249,
1703953200000,246,245,247,
1703953800000,247,246,247,
1703954400000,249,247,249,
1703955000000,249,248,249,
1703955600000,247,246,247,
1703956200000,247,245,247,
1703956800000,247,246,247,
1703957400000,248,246,248,
1703958000000,248,246,248,
1703958600000,249,247,249,
1703959200000,247,245,247,
1703959800000,247,246,247,
1703960400000,248,247,248,
1703961000000,250,248,250,
1703961600000,247,246,247,
1703962200000,247,246,247,
1703962800000,247,246,247,
1703963400000,247,246,247,
1703964000000,247,246,248,
1703964600000,248,247,249,
1703965200000,250,248,249,
1703965800000,250,249,250,
1703966400000,250,248,250,
1703967000000,248,248,249,
1703967600000,250,248,250,
1703968200000,250,248,250,
1703968800000,249,248,249,
1703969400000,249,248,249,
1703970000000,249,248,250,
1703970600000,249,248,249,
1703971200000,250,249,250,
1703971800000,251,250,251,
1703972400000,249,248,249,
1703973000000,249,248,249,
1703973600000,249,249,250,
1703974200000,249,248,250,
1703974800000,249,247,249,
1703975400000,250,249,251,
1703976000000,249,248,250,
1703976600000,250,249,250,
1703977200000,250,249,250,
1703977800000,250,249,250,
1703978400000,250,248,250,
1703979000000,250,249,251,
1703979600000,250,249,251,
1703980200000,251,250,251,
1703980800000,251,249,251,
1703981400000,249,248,249,
1703982000000,249,248,249,
1703982600000,250,248,250,
1703983200000,249,248,250,
1703983800000,249,247,249,
1703984400000,248,246,249,
1703985000000,247,246,247,
1703985600000,247,245,247,
1703986200000,249,247,249,
1703986800000,248,247,249,
1703987400000,248,247,248,
1703988000000,248,246,248,
1703988600000,247,246,247,
1703989200000,246,245,247,
1703989800000,249,248,249,
1703990400000,249,248,249,
1703991000000,248,246,248,
1703991600000,248,247,248,
1703992200000,248,247,249,
1703992800000,248,246,247,
1703993400000,247,246,248,
1703994000000,247,246,247,
1703994600000,249,248,249,
1703995199000,249,247,249,
1703995800000,249,247,248,
1703996400000,246,245,246,
1703997000000,249,248,250,
1703997600000,248,247,248,
1703998200000,248,246,248,
1703998800000,248,246,248,
1703999400000,248,246,248,
1704000000000,247,246,247,
1704000600000,249,246,248,
1704001200000,248,246,248,
1704001800000,247,246,247,
1704002400000,247,246,248,
1704003000000,248,246,248,
1704003600000,248,246,247,
1704004200000,249,247,249,
1704004800000,247,245,247,
1704005400000,247,245,247,
1704006000000,247,245,247,
1704006600000,248,246,248,
1704007200000,248,246,248,
1704007800000,246,244,246,
1704008400000,246,245,246,
1704009000000,247,245,247,
1704009600000,248,246,248,
1704010200000,248,246,248,
1704010800000,249,247,249,
1704011400000,250,248,250,
1704012000000,250,248,250,
1704012600000,249,247,249,
1704013200000,250,248,250,
1704013800000,249,247,249,
1704014400000,250,249,251,
1704015000000,251,249,251,
1704015600000,251,249,251,
1704016200000,251,250,252,
1704016800000,253,250,253,
1704017399000,252,251,252,
1704018000000,250,248,250,
1704018600000,251,249,251,
1704019200000,252,251,254,
1704019800000,252,250,252,
1704020400000,249,247,249,
1704021000000,246,245,247,
1704021600000,245,243,245,
1704022200000,249,247,249,
1704022800000,247,246,248,
1704023400000,248,247,248,
1704024000000,248,247,249,
1704024600000,249,248,250,
1704025200000,249,247,249,
1704025800000,248,248,249,
1704026400000,248,248,249,
1704027000000,247,246,247,
1704027600000,247,246,247,
1704028200000,246,246,247,
1704028800000,247,247,248,
1704029400000,249,248,248,
1704030000000,249,248,249,
1704030600000,247,247,248,
1704031200000,248,248,249,
1704031800000,249,249,249,
1704032400000,249,249,249,
1704033000000,249,249,250,
1704033600000,247,247,248,
1704034200000,246,247,248,
1704034800000,248,247,248,
1704035400000,248,248,248,
1704036000000,248,247,248,
1704036600000,249,248,250,
1704037200000,248,247,247,
1704037800000,247,247,247,
1704038400000,248,247,248,
1704039000000,248,246,248,
1704039600000,249,248,249,
1704040200000,250,248,250,
1704040800000,247,246,247,
1704041400000,247,246,247,
1704042000000,248,247,248,
1704042600000,248,247,248,
1704043200000,248,247,249,
1704043800000,249,248,249,
1704044400000,247,246,247,
1704045000000,247,246,248,
1704045600000,248,246,248,
1704046200000,247,246,248,
1704046800000,248,247,249,
1704047400000,250,248,250,
1704048000000,248,246,248,
1704048600000,247,246,248,
1704049200000,248,246,248,
1704049800000,249,247,249,
1704050400000,248,248,249,
1704051000000,249,247,249,
1704051600000,250,249,251,
1704052200000,250,249,250,
1704052800000,251,249,251,
1704053400000,250,249,251,
1704054000000,251,249,251,
1704054600000,252,250,252,
1704055200000,251,249,251,
1704055800000,250,249,251,
1704056400000,250,249,251,
1704056999000,250,249,251,
1704057000000,250,249,251,
1704057600000,251,250,251,
1704058200000,252,251,252,
1704058800000,251,250,251,
1704059400000,250,249,251,
1704060000000,251,250,251,
1704060600000,250,249,251,
1704061200000,251,249,251,
1704061800000,251,250,252,
1704062400000,250,249,251,
1704063000000,251,249,251,
1704063600000,250,249,251,
1704064200000,250,248,250,
1704064800000,249,248,250,
1704065400000,250,249,251,
1704066000000,250,249,250,
1704066600000,249,248,250,
1704067200000,249,248,250,
1704067800000,248,246,248,
1704068400000,247,246,248,
1704069000000,248,247,249,
1704069600000,248,247,249,
1704070200000,247,246,247,
1704070800000,247,246,248,
1704071400000,247,245,247,
1704072000000,245,244,246,
1704072600000,247,246,248,
1704073200000,247,246,247,
1704073800000,246,245,247,
1704074400000,246,245,247,
1704075000000,247,246,248,
1704075600000,246,245,247,
1704076200000,248,248,249,
1704076800000,247,246,248,
1704077400000,248,247,248,
1704078000000,247,247,247,
1704078600000,248,247,246,
1704079200000,247,246,247,
1704079800000,249,247,249,
1704080400000,248,246,248,
1704081000000,246,245,246,
1704081600000,246,245,246,
1704082200000,250,247,249,
1704082800000,246,245,245,
1704083400000,248,246,248,
1704084000000,245,244,246,
1704084600000,246,246,249,
1704085200000,247,247,248,
1704085800000,247,247,248,
1704086400000,248,247,248,
1704087000000,248,247,248,
1704087600000,246,245,247,
1704088200000,246,245,247,
1704088800000,247,245,246,
1704089400000,247,246,248,
1704090000000,245,244,246,
1704090600000,246,246,247,
1704091200000,247,247,246,
1704091800000,248,245,246,
1704092400000,247,245,247,
1704093000000,248,247,248,
1704093600000,245,244,245,
1704094200000,247,245,247,
1704094800000,246,244,246,
1704095400000,247,245,247,
1704096000000,247,244,247,
1704096600000,247,244,247,
1704097200000,247,245,247,
1704097800000,248,247,248,
1704098400000,248,247,245,
1704099000000,247,245,246,
1704099600000,247,245,246,
1704100200000,247,246,244,
1704100800000,246,244,245,
1704101400000,246,244,246,
1704102000000,244,243,245,
1704102600000,246,244,246,
1704103200000,245,245,243,
1704103800000,245,244,245,
1704104400000,246,244,245,
1704105000000,247,246,246,
1704105600000,249,248,248,
1704106200000,249,247,249,
1704106800000,249,247,249,
1704107400000,249,248,248,
1704108000000,250,249,247,
1704108600000,246,245,246,
1704109200000,246,245,246,
1704109800000,245,245,245,
1704110400000,246,244,246,
1704111000000,245,244,245,
1704111600000,247,247,248,
1704112200000,246,247,247,
1704112800000,247,246,246,
1704113400000,245,245,245,
1704114000000,246,246,246,
1704114600000,246,246,246,
1704115200000,247,246,247,
1704115800000,247,248,247,
1704116400000,248,249,246,
1704117000000,248,247,248,
1704117600000,247,246,247,
1704118200000,248,249,246,
1704118800000,248,248,248,
1704119400000,248,248,249,
1704120000000,248,247,247,
1704120600000,248,247,248,
1704121200000,248,248,248,
1704121800000,248,248,249,
1704122400000,246,246,246,
1704123000000,247,246,247,
1704123600000,247,247,248,
1704124200000,248,248,248,
1704124800000,246,245,246,
1704125400000,247,246,246,
1704126000000,248,247,248,
1704126600000,249,248,249,
1704127200000,247,246,247,
1704127800000,248,247,247,
1704128400000,248,249,246,
1704129000000,249,248,248,
1704129600000,249,248,249,
1704130200000,249,248,249,
1704130800000,247,247,247,
1704131400000,247,246,247,
1704132000000,248,247,247,
1704132600000,249,247,248,
1704133200000,249,248,249,
1704133800000,250,249,250,
